Date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th
11/6/2024,GSW (7-1) T1,OKC (7-1) T1,PHO (7-1) T1,DAL (5-3) T4,DEN (5-3) T4,HOU (5-3) T4,SAC (5-3) T4,MIN (4-3),MEM (5-4),LAC (4-4) T10,LAL (4-4) T10,POR (3-5) T12,SAS (3-5) T12,NOP (3-6),UTA (1-6)
11/7/2024,GSW (7-1) T1,OKC (7-1) T1,PHO (7-1) T1,DAL (5-3) T4,DEN (5-3) T4,HOU (5-3) T4,MIN (5-3) T4,SAC (5-3) T4,MEM (5-4),LAC (4-4) T10,LAL (4-4) T10,SAS (4-5),NOP (3-6) T13,POR (3-6) T13,UTA (1-7)
11/8/2024,OKC (8-1) T1,PHO (8-1) T1,GSW (7-2),DEN (6-3) T4,MIN (6-3) T4,MEM (6-4),DAL (5-4) T7,HOU (5-4) T7,LAC (5-4) T7,LAL (5-4) T7,SAC (5-4) T7,SAS (4-5),NOP (3-7) T13,POR (3-7) T13,UTA (1-7)
11/9/2024,OKC (8-1) T1,PHO (8-1) T1,GSW (7-2),DEN (6-3) T4,MIN (6-3) T4,LAC (6-4) T6,MEM (6-4) T6,DAL (5-4) T8,HOU (5-4) T8,LAL (5-4) T8,SAC (5-4) T8,SAS (4-6),NOP (3-7) T13,POR (3-7) T13,UTA (2-7)
11/10/2024,GSW (8-2) T1,OKC (8-2) T1,PHO (8-2) T1,DEN (7-3),MEM (7-4),HOU (6-4) T6,LAC (6-4) T6,LAL (6-4) T6,MIN (6-4) T6,SAC (6-4) T6,DAL (5-5),SAS (4-6),NOP (3-7),POR (3-8),UTA (2-7)
11/11/2024,OKC (9-2),GSW (8-2) T2,PHO (8-2) T2,DEN (7-3),HOU (7-4) T5,MEM (7-4) T5,LAL (6-4) T7,MIN (6-4) T7,LAC (6-5) T9,SAC (6-5) T9,DAL (5-5),SAS (5-6),NOP (3-8) T13,POR (3-8) T13,UTA (2-7)
11/12/2024,GSW (9-2) T1,OKC (9-2) T1,PHO (9-2) T1,DEN (7-3),HOU (7-4) T5,MEM (7-4) T5,LAL (6-4),LAC (6-5) T8,MIN (6-5) T8,SAC (6-5) T8,DAL (5-6) T11,SAS (5-6) T11,POR (4-8),NOP (3-8),UTA (2-8)
11/13/2024,OKC (10-2),GSW (9-2),PHO (9-3),DEN (7-3),HOU (8-4),LAL (7-4),MEM (7-5) T7,SAC (7-5) T7,LAC (6-6) T9,MIN (6-6) T9,SAS (6-6) T9,DAL (5-6),POR (5-8),NOP (3-9),UTA (2-8)
11/14/2024,OKC (10-2),GSW (9-2),PHO (9-3),DEN (7-3),HOU (8-4),LAL (7-4),MEM (7-5) T7,SAC (7-5) T7,LAC (6-6) T9,MIN (6-6) T9,SAS (6-6) T9,DAL (5-7),POR (5-8),UTA (3-8),NOP (3-9)
11/15/2024,OKC (11-2),GSW (10-2),HOU (9-4) T3,PHO (9-4) T3,LAL (8-4),DEN (7-4),MEM (7-6) T7,MIN (7-6) T7,SAC (7-6) T7,LAC (6-7) T10,SAS (6-7) T10,DAL (5-7),POR (5-8),NOP (4-9),UTA (3-8)
11/16/2024,OKC (11-2),GSW (10-2),HOU (9-4) T3,LAL (9-4) T3,PHO (9-4) T3,DEN (7-4),SAC (8-6),MEM (7-6) T8,MIN (7-6) T8,DAL (6-7) T10,LAC (6-7) T10,SAS (6-8),POR (5-8),NOP (4-10),UTA (3-9)
11/17/2024,GSW (10-2),OKC (11-3),HOU (10-4),LAL (9-4),PHO (9-5),DEN (7-5),MEM (8-6) T7,MIN (8-6) T7,SAC (8-6) T7,DAL (7-7) T10,LAC (7-7) T10,POR (6-8) T12,SAS (6-8) T12,NOP (4-10),UTA (3-10)
11/18/2024,OKC (11-3),GSW (10-3),LAL (9-4),HOU (10-5),PHO (9-6),DEN (7-5),MEM (8-6) T7,MIN (8-6) T7,LAC (8-7) T9,SAC (8-7) T9,DAL (7-7),POR (6-8) T12,SAS (6-8) T12,NOP (4-10),UTA (3-10)
11/19/2024,GSW (10-3),OKC (11-4),LAL (10-4),HOU (10-5),DEN (8-5),PHO (9-6),MIN (8-6),DAL (8-7) T8,LAC (8-7) T8,MEM (8-7) T8,SAC (8-7) T8,SAS (7-8),POR (6-8),NOP (4-11),UTA (3-11)
11/20/2024,GSW (11-3),OKC (12-4),LAL (10-4),HOU (11-5),DEN (8-5),MIN (8-6),LAC (9-7) T7,MEM (9-7) T7,PHO (9-7) T7,DAL (8-7) T10,SAC (8-7) T10,SAS (7-8),POR (6-9),NOP (4-12),UTA (3-11)
11/21/2024,GSW (11-3),OKC (12-4),HOU (11-5),LAL (10-5),DEN (8-5),LAC (9-7) T6,MEM (9-7) T6,PHO (9-7) T6,DAL (8-7) T9,MIN (8-7) T9,SAC (8-7) T9,SAS (8-8),POR (6-9),NOP (4-12),UTA (3-12)
11/22/2024,GSW (12-3),OKC (12-4),HOU (12-5),LAL (10-5),LAC (10-7),DEN (8-6),DAL (9-7) T7,MEM (9-7) T7,PHO (9-7) T7,MIN (8-7),SAC (8-8) T11,SAS (8-8) T11,POR (6-10),NOP (4-13),UTA (3-12)
11/23/2024,GSW (12-4) T1,OKC (12-4) T1,HOU (12-6),LAL (10-6),DEN (9-6),LAC (10-7) T6,MEM (10-7) T6,DAL (9-7) T8,PHO (9-7) T8,MIN (8-7),SAS (9-8),SAC (8-8),POR (7-10),UTA (4-12),NOP (4-13)
11/24/2024,GSW (12-4) T1,OKC (12-4) T1,HOU (12-6),LAL (10-6),LAC (11-7),DEN (9-6),MEM (10-7),PHO (9-7),DAL (9-8) T9,SAS (9-8) T9,MIN (8-8),SAC (8-9),POR (7-10),UTA (4-12),NOP (4-13)
11/25/2024,OKC (13-4),GSW (12-5),HOU (12-6),LAL (10-6),MEM (11-7),LAC (11-8),DEN (9-7) T7,PHO (9-7) T7,DAL (10-8),SAS (9-8),MIN (8-8),SAC (8-10),POR (7-11),UTA (4-12),NOP (4-14)
11/26/2024,OKC (13-4),GSW (12-5),HOU (13-6),MEM (11-7),LAL (10-7) T5,PHO (10-7) T5,LAC (11-8),DEN (9-7),DAL (10-8) T9,SAS (10-8) T9,MIN (8-9),SAC (8-10),POR (7-11),UTA (4-13),NOP (4-14)
11/27/2024,OKC (14-4),HOU (14-6),GSW (12-6),MEM (12-7),LAL (11-7),LAC (12-8),DEN (10-7),DAL (11-8),PHO (10-8),SAS (10-9),SAC (9-10),MIN (8-10),POR (7-12),UTA (4-14),NOP (4-15)
11/29/2024,OKC (15-4),HOU (14-6),GSW (12-6),MEM (13-7),DEN (10-7),DAL (11-8) T6,LAL (11-8) T6,LAC (12-9),PHO (10-8),SAS (10-9),MIN (9-10),SAC (9-11),POR (8-12),UTA (4-14),NOP (4-16)
11/30/2024,OKC (15-4),HOU (14-6),MEM (13-7),GSW (12-7),DAL (12-8),DEN (10-7),LAL (11-8) T7,PHO (11-8) T7,LAC (12-9),SAS (10-9),MIN (9-10),SAC (9-11),POR (8-12),UTA (4-15),NOP (4-16)
12/1/2024,OKC (15-5),HOU (15-6),MEM (14-7),GSW (12-7),DAL (13-8),LAL (12-8),LAC (13-9),PHO (11-8),DEN (10-8),SAS (11-9),MIN (9-10),SAC (9-12),POR (8-13),UTA (4-16),NOP (4-17)
12/2/2024,OKC (15-5),HOU (15-6),MEM (14-7),GSW (12-7),DAL (13-8),LAC (13-9),PHO (11-8),LAL (12-9),DEN (10-8),SAS (11-9),MIN (10-10),SAC (9-12),POR (8-13),UTA (4-16),NOP (4-18)
12/3/2024,OKC (16-5),HOU (15-7),DAL (14-8) T3,MEM (14-8) T3,LAC (14-9),GSW (12-8) T6,PHO (12-8) T6,DEN (11-8),LAL (12-9),SAS (11-10),MIN (10-10),SAC (10-12),POR (8-14),UTA (4-17),NOP (4-18)
12/4/2024,OKC (16-5),HOU (15-7),DAL (14-8) T3,MEM (14-8) T3,GSW (12-8) T5,PHO (12-8) T5,LAC (14-10),DEN (11-8),LAL (12-10),MIN (11-10) T10,SAS (11-10) T10,SAC (10-12),POR (8-14),UTA (4-17),NOP (4-18)
12/5/2024,OKC (17-5),DAL (15-8) T2,HOU (15-8) T2,MEM (15-8) T2,GSW (13-8),LAC (14-10),PHO (12-9),DEN (11-9),LAL (12-10),MIN (11-10),SAS (11-11),SAC (10-13),POR (8-14),NOP (5-18),UTA (4-17)
12/6/2024,OKC (17-5),DAL (15-8) T2,HOU (15-8) T2,MEM (15-8) T2,GSW (13-9),LAC (14-10),PHO (12-9),DEN (11-9),MIN (12-10),LAL (12-11),SAS (11-12),SAC (11-13),POR (8-15),UTA (5-17),NOP (5-18)
12/7/2024,OKC (18-5),DAL (16-8) T2,MEM (16-8) T2,HOU (15-8),GSW (13-9),LAC (14-10),MIN (12-10) T7,PHO (12-10) T7,DEN (11-10),LAL (12-11),SAS (11-12),SAC (11-13),POR (8-15),UTA (5-17),NOP (5-19)
12/8/2024,OKC (18-5),MEM (17-8),DAL (16-8) T3,HOU (16-8) T3,GSW (14-9),LAC (14-11),DEN (12-10),LAL (13-11),MIN (12-11) T9,PHO (12-11) T9,SAS (12-12),SAC (12-13),POR (8-16),UTA (5-18),NOP (5-20)
12/9/2024,OKC (18-5),MEM (17-8),DAL (16-8) T3,HOU (16-8) T3,GSW (14-9),LAC (14-11),DEN (12-10),LAL (13-11),MIN (12-11) T9,PHO (12-11) T9,SAS (12-12),SAC (12-13),POR (8-16),UTA (5-18),NOP (5-20)
12/10/2024,OKC (19-5),MEM (17-8),HOU (16-8),DAL (16-9),GSW (14-9),LAC (14-11),DEN (12-10),LAL (13-11),MIN (12-11) T9,PHO (12-11) T9,SAS (12-12),SAC (12-13),POR (8-16),UTA (5-18),NOP (5-20)
12/11/2024,OKC (19-5),HOU (17-8) T2,MEM (17-8) T2,DAL (16-9),GSW (14-10),LAC (14-11),DEN (12-10),LAL (13-11),MIN (12-11) T9,PHO (12-11) T9,SAS (12-12),SAC (12-13),POR (8-16),UTA (5-18),NOP (5-20)
12/12/2024,OKC (19-5),HOU (17-8) T2,MEM (17-8) T2,DAL (16-9),GSW (14-10),LAC (14-11),DEN (12-10),LAL (13-11),MIN (12-11) T9,PHO (12-11) T9,SAC (13-13) T11,SAS (12-12) T11,POR (8-16),UTA (5-18),NOP (5-21)
12/13/2024,OKC (19-5),MEM (18-8),HOU (17-8),DAL (16-9),GSW (14-10),DEN (13-10),MIN (13-11) T7,PHO (13-11) T7,LAC (14-12),LAL (13-12) T10,SAS (13-12) T10,SAC (13-13),POR (8-17),UTA (5-19),NOP (5-21)
12/14/2024,OKC (20-5),MEM (18-8),HOU (17-9),DAL (16-9),GSW (14-10),DEN (13-10),MIN (13-11) T7,PHO (13-11) T7,LAC (14-12),LAL (13-12) T10,SAS (13-12) T10,SAC (13-13),POR (8-17),UTA (5-19),NOP (5-21)
12/15/2024,OKC (20-5),MEM (18-9),DAL (17-9) T3,HOU (17-9) T3,DEN (13-10),GSW (14-11) T6,MIN (14-11) T6,PHO (14-11) T6,LAC (14-12) T9,LAL (14-12) T9,SAC (13-13) T11,SAS (13-13) T11,POR (8-18),UTA (5-19),NOP (5-22)
12/16/2024,OKC (20-5),MEM (18-9),DAL (17-9) T3,HOU (17-9) T3,DEN (14-10),GSW (14-11) T6,MIN (14-11) T6,PHO (14-11) T6,LAC (15-12),LAL (14-12),SAS (13-13),SAC (13-14),POR (8-18),UTA (5-20),NOP (5-22)
12/19/2024,OKC (21-5),MEM (19-9),HOU (18-9),DAL (17-10),LAC (16-12),DEN (14-11),LAL (15-12),GSW (14-12) T8,MIN (14-12) T8,PHO (14-12) T8,SAS (14-13),SAC (13-15),POR (9-18),UTA (6-20),NOP (5-23)
12/20/2024,OKC (22-5),MEM (19-9),HOU (18-9),DAL (17-10),LAC (16-12),DEN (14-11),LAL (15-12),GSW (14-12) T8,MIN (14-12) T8,PHO (14-12) T8,SAS (14-13),SAC (13-15),POR (9-18),UTA (6-20),NOP (5-23)
12/21/2024,OKC (22-5),MEM (20-9),HOU (18-9),DAL (18-10),LAL (16-12),DEN (14-11),GSW (15-12),LAC (16-13),SAS (15-13),MIN (14-13) T10,PHO (14-13) T10,SAC (13-16),POR (9-19),UTA (7-20),NOP (5-24)
12/22/2024,OKC (22-5),MEM (20-9),HOU (19-9),DAL (18-10),DEN (15-11),LAL (16-12),GSW (15-12),LAC (16-13),SAS (15-13),MIN (14-13) T10,PHO (14-13) T10,SAC (13-17),POR (9-19),UTA (7-20),NOP (5-25)
12/23/2024,OKC (23-5),HOU (20-9),MEM (20-10),DAL (19-10),DEN (16-11),LAC (17-13),LAL (16-13),GSW (15-13),SAS (15-14),MIN (14-14) T10,PHO (14-14) T10,SAC (13-17),POR (9-20),UTA (7-21),NOP (5-25)
12/25/2024,OKC (23-5),HOU (20-9),MEM (20-10),DAL (19-11),DEN (16-12),LAC (17-13) T6,LAL (17-13) T6,GSW (15-14) T8,MIN (15-14) T8,PHO (15-14) T8,SAS (15-15),SAC (13-17),POR (9-20),UTA (7-21),NOP (5-25)
12/26/2024,OKC (24-5),HOU (21-9),MEM (21-10),DAL (19-11),DEN (16-12),LAC (17-13) T6,LAL (17-13) T6,GSW (15-14) T8,MIN (15-14) T8,PHO (15-14) T8,SAS (15-15),SAC (13-18),POR (10-20),UTA (7-22),NOP (5-26)
12/27/2024,OKC (24-5),MEM (22-10),HOU (21-10),DAL (20-11),LAC (18-13),LAL (17-13),DEN (16-13),MIN (16-14),SAS (16-15),GSW (15-15) T10,PHO (15-15) T10,SAC (13-18),POR (10-20),UTA (7-22),NOP (5-27)
12/28/2024,OKC (25-5),MEM (22-10),HOU (21-10),DAL (20-12),LAC (18-13) T5,LAL (18-13) T5,DEN (17-13),MIN (16-14),GSW (16-15) T9,SAS (16-15) T9,PHO (15-16),SAC (13-19),POR (11-20),UTA (7-23),NOP (5-27)
12/29/2024,OKC (26-5),MEM (22-11),HOU (21-11),DAL (20-12),LAC (18-13) T5,LAL (18-13) T5,DEN (17-13),MIN (17-14),GSW (16-15),SAS (16-16),PHO (15-16),SAC (13-19),POR (11-20),UTA (7-23),NOP (5-27)
12/30/2024,OKC (26-5),MEM (22-11),HOU (21-11),DAL (20-13),LAC (19-13),DEN (18-13) T6,LAL (18-13) T6,MIN (17-14),GSW (16-16) T9,SAS (16-16) T9,PHO (15-16),SAC (14-19),POR (11-21),UTA (7-24),NOP (5-28)
12/31/2024,OKC (27-5),MEM (23-11),HOU (21-11),DAL (20-13),DEN (18-13),LAC (19-14),LAL (18-14),MIN (17-15),SAS (17-16),GSW (16-16),PHO (15-17),SAC (14-19),POR (11-21),UTA (7-24),NOP (5-28)
1/1/2025,OKC (27-5),MEM (23-11),HOU (22-11),DEN (19-13),DAL (20-14),LAC (19-14),LAL (18-14),MIN (17-15),SAS (17-16),GSW (16-16),PHO (15-17),SAC (15-19),POR (11-21),UTA (7-25),NOP (5-29)
1/2/2025,OKC (28-5),MEM (23-11),HOU (22-11),DEN (19-13),DAL (20-14),LAL (19-14),LAC (19-15),GSW (17-16) T8,MIN (17-16) T8,SAS (17-16) T8,PHO (15-17),SAC (15-19),POR (11-22),UTA (7-25),NOP (5-29)
1/3/2025,OKC (29-5),MEM (23-12),HOU (22-12),LAL (20-14),DEN (19-14),DAL (20-15),LAC (19-15),SAS (18-16),GSW (17-16) T9,MIN (17-16) T9,PHO (15-17),SAC (16-19),POR (11-22),UTA (7-25),NOP (6-29)
1/4/2025,OKC (29-5),HOU (22-12),MEM (23-13),DEN (20-14) T4,LAL (20-14) T4,DAL (20-15) T6,LAC (20-15) T6,GSW (18-16),SAS (18-17),MIN (17-17),SAC (16-19),PHO (15-18),POR (12-22),UTA (8-25),NOP (6-29)
1/5/2025,OKC (30-5),HOU (23-12),MEM (23-13),DEN (20-14),DAL (20-15) T5,LAC (20-15) T5,LAL (20-15) T5,GSW (18-17) T8,SAS (18-17) T8,MIN (17-17),SAC (17-19),PHO (15-18),POR (12-22),UTA (9-25),NOP (7-29)
1/6/2025,OKC (30-5),HOU (23-12),MEM (24-13),DEN (20-14),LAL (20-15),DAL (20-16) T6,LAC (20-16) T6,GSW (18-17) T8,MIN (18-17) T8,SAS (18-18),SAC (18-19),PHO (16-18),POR (12-23),UTA (9-25),NOP (7-29)
1/7/2025,OKC (30-5),HOU (24-12),MEM (24-13),DEN (20-15),DAL (21-16),LAC (20-16) T6,LAL (20-16) T6,MIN (19-17),GSW (18-18) T9,SAS (18-18) T9,SAC (18-19),PHO (16-19),POR (12-23),UTA (9-26),NOP (7-30)
1/8/2025,OKC (30-6),HOU (24-12),MEM (24-13),DEN (21-15),DAL (21-16),LAL (20-16),LAC (20-17),MIN (19-17),GSW (18-18),SAC (18-19) T10,SAS (18-19) T10,PHO (16-19),POR (13-23),UTA (9-26),NOP (7-31)
1/9/2025,OKC (30-6),HOU (25-12),MEM (24-14),DEN (21-15),DAL (22-16),LAL (20-16),LAC (20-17) T7,MIN (20-17) T7,GSW (19-18),SAC (18-19) T10,SAS (18-19) T10,PHO (17-19),POR (13-24),UTA (9-27),NOP (7-31)
1/10/2025,OKC (31-6),HOU (25-12),MEM (24-14),DEN (22-15),DAL (22-16),LAL (20-16),LAC (20-17) T7,MIN (20-17) T7,GSW (19-19) T9,SAC (19-19) T9,SAS (18-19),PHO (17-19),POR (13-24),UTA (9-27),NOP (8-31)
1/11/2025,OKC (31-6),HOU (25-12),MEM (25-14),DEN (22-15),DAL (22-16),LAL (20-16),LAC (20-17),MIN (20-18),GSW (19-19) T9,SAC (19-19) T9,PHO (18-19) T11,SAS (18-19) T11,POR (13-25),UTA (9-28),NOP (8-31)
1/12/2025,OKC (32-6),HOU (25-12),MEM (25-14),DEN (23-15),DAL (22-17),LAL (20-16),LAC (20-17),MIN (20-18),SAC (20-19),GSW (19-19) T10,PHO (19-19) T10,SAS (18-19),POR (13-25),UTA (10-28),NOP (8-32)
1/13/2025,OKC (32-6),HOU (26-12),MEM (25-15),DEN (23-15),DAL (22-17),LAC (21-17),LAL (20-17),MIN (21-18),SAC (20-19),PHO (19-19) T10,SAS (19-19) T10,GSW (19-20),POR (13-25),UTA (10-28),NOP (8-32)
1/14/2025,OKC (33-6),HOU (26-12),MEM (25-15),DEN (24-15),LAC (21-17),DAL (22-18),LAL (20-17),MIN (21-18),SAC (20-20) T9,SAS (19-19) T9,GSW (19-20) T11,PHO (19-20) T11,POR (13-26),UTA (10-28),NOP (9-32)
1/15/2025,OKC (33-6),HOU (27-12),MEM (26-15),DEN (24-16),LAC (22-17),LAL (21-17),DAL (22-19),MIN (21-19),GSW (20-20) T9,SAC (20-20) T9,PHO (19-20) T11,SAS (19-20) T11,POR (13-26),UTA (10-29),NOP (10-32)
1/16/2025,OKC (34-6),HOU (27-13),MEM (26-15),DEN (24-16),LAC (23-17),LAL (21-17),DAL (22-19),MIN (21-19),SAC (21-20),GSW (20-20) T10,PHO (20-20) T10,SAS (19-20),POR (13-27),UTA (10-29),NOP (10-32)
1/17/2025,OKC (34-7),HOU (27-13),MEM (27-15),DEN (25-16),LAC (23-17),LAL (22-17),DAL (23-19),MIN (22-19),SAC (21-20),GSW (20-20) T10,PHO (20-20) T10,SAS (19-21),POR (13-27),NOP (11-32),UTA (10-30)
1/18/2025,OKC (34-7),HOU (28-13),MEM (27-15),DEN (25-16),LAC (23-17),LAL (22-17),DAL (23-19),MIN (22-20),GSW (21-20) T9,PHO (21-20) T9,SAC (21-20) T9,SAS (19-21),POR (13-28),NOP (11-32),UTA (10-30)
1/19/2025,OKC (35-7),HOU (28-13),MEM (27-15),DEN (26-16),LAC (24-17),LAL (22-18),DAL (23-19),MIN (22-20) T8,SAC (22-20) T8,GSW (21-20) T10,PHO (21-20) T10,SAS (19-22),POR (14-28),NOP (11-32),UTA (10-30)
1/20/2025,OKC (35-7),HOU (28-14),MEM (28-15),DEN (26-16),LAC (24-18),LAL (22-18),DAL (23-20),SAC (22-20),MIN (22-21),GSW (21-21) T10,PHO (21-21) T10,SAS (19-22),POR (14-28),NOP (12-32),UTA (10-31)
1/21/2025,OKC (35-7),HOU (28-14),MEM (28-15),DEN (27-16),LAC (24-18),LAL (23-18),DAL (23-20),SAC (22-20),MIN (22-21),GSW (21-21) T10,PHO (21-21) T10,SAS (19-22),POR (15-28),NOP (12-32),UTA (10-31)
1/22/2025,OKC (36-7),HOU (29-14),MEM (29-15),DEN (27-16),LAL (23-18),LAC (24-19),SAC (23-20),DAL (23-21) T8,MIN (23-21) T8,PHO (22-21),GSW (21-22),SAS (19-22),POR (15-28),NOP (12-32),UTA (10-32)
1/23/2025,OKC (36-8),HOU (29-14),MEM (29-15),DEN (28-16),LAL (24-18),LAC (25-19),DAL (24-21),MIN (23-21) T8,SAC (23-21) T8,PHO (22-21),GSW (22-22),SAS (20-22),POR (16-28),NOP (12-32),UTA (10-32)
1/24/2025,OKC (36-8),HOU (29-14),MEM (30-15),DEN (28-16),LAL (24-18),LAC (25-19),DAL (24-21),MIN (23-21) T8,SAC (23-21) T8,PHO (22-21),GSW (22-22),SAS (20-22),POR (17-28),NOP (12-33),UTA (10-32)
1/25/2025,OKC (36-8),HOU (30-14),MEM (31-15),DEN (28-17),LAL (25-18),LAC (26-19),MIN (24-21),PHO (23-21),DAL (24-22),SAC (23-22),GSW (22-23),SAS (20-23),POR (17-28),NOP (12-34),UTA (10-33)
1/26/2025,OKC (37-8),HOU (30-14),MEM (31-15),DEN (28-17),LAL (25-18),LAC (26-19),MIN (24-21),PHO (23-21),DAL (24-22),SAC (23-22),GSW (22-23),SAS (20-23),POR (17-29),NOP (12-34),UTA (10-33)
1/27/2025,OKC (37-8),HOU (31-14),MEM (31-16),DEN (28-18),LAL (26-18),LAC (26-20),MIN (25-21),PHO (24-21),DAL (25-22),SAC (24-22),GSW (22-23),SAS (20-23),POR (17-29),NOP (12-35),UTA (10-34)
1/28/2025,OKC (37-8),HOU (32-14),MEM (31-16),DEN (28-18),LAL (26-19),LAC (26-20),MIN (25-21),PHO (24-21),DAL (25-22),SAC (24-22),GSW (23-23),SAS (20-23),POR (18-29),NOP (12-35),UTA (10-35)
1/29/2025,OKC (37-9),HOU (32-14),MEM (31-16),DEN (28-19),LAL (26-19),LAC (27-20),MIN (26-21),DAL (26-22),PHO (24-22),GSW (24-23) T10,SAC (24-23) T10,SAS (20-24),POR (18-29),NOP (12-36),UTA (10-35)
1/30/2025,OKC (37-9),HOU (32-15),MEM (32-16),DEN (28-19),LAL (27-19),LAC (27-20),MIN (27-21),DAL (26-22),PHO (24-22),GSW (24-23) T10,SAC (24-23) T10,SAS (20-24),POR (19-29),NOP (12-36),UTA (10-36)
1/31/2025,OKC (37-9),HOU (32-15),MEM (32-16),DEN (29-19),LAL (27-19),LAC (28-20),MIN (27-21),PHO (25-22),DAL (26-23),SAC (24-23),GSW (24-24),SAS (21-24),POR (19-29),NOP (12-37),UTA (10-36)
2/1/2025,OKC (38-9),HOU (32-16) T2,MEM (32-16) T2,DEN (30-19),LAL (28-19),LAC (28-20),MIN (27-22),DAL (26-23),PHO (25-23),GSW (24-24) T10,SAC (24-24) T10,SAS (21-25),POR (20-29),NOP (12-37),UTA (11-36)
2/2/2025,OKC (38-9),MEM (33-16),HOU (32-16),DEN (30-19),LAL (28-19),LAC (28-21),MIN (27-22),PHO (25-23),DAL (26-24),GSW (24-24) T10,SAC (24-24) T10,SAS (21-25),POR (20-29),NOP (12-37),UTA (11-36)
